Kabupaten,Kecamatan,Total Prelist,Total Draft,Total Open,Total Submitted,Total Rejected,Total Approved,Submitted Pencacah,Submitted Respondent,Persentase,Today Completed,Yesterday Completed,New Usaha,New Rumah
[02] BANGGAI,[072] MANTOH,2927,35,773,2119,319,443,1357,0,72.39,0,0,233,88
[02] BANGGAI,[080] BALANTAK,3019,1,565,2453,298,919,1236,0,81.25,0,0,215,92
[02] BANGGAI,[081] BALANTAK SELATAN,2264,103,922,1239,287,389,563,0,54.73,0,0,95,84
[02] BANGGAI,[082] BALANTAK UTARA,2052,0,591,1461,166,464,831,0,71.2,0,0,146,103
[03] MOROWALI,[010] MENUI KEPULAUAN,2441,182,531,1728,44,1665,19,0,70.79,0,0,35,20
[03] MOROWALI,[011] SOMBORI KEPULAUAN,1266,290,738,238,0,0,238,0,18.8,0,0,87,4
[03] MOROWALI,[020] BUNGKU SELATAN,4163,191,1466,2506,17,2340,149,0,60.2,0,0,274,137
[03] MOROWALI,[021] BAHODOPI,17846,623,7512,9711,113,6430,3168,0,54.42,0,0,1716,1724
[03] MOROWALI,[022] BUNGKU PESISIR,2329,106,1455,768,7,243,518,0,32.98,0,0,81,106
[03] MOROWALI,[030] BUNGKU TENGAH,12687,530,6518,5639,112,2220,3307,0,44.45,0,0,853,787
[03] MOROWALI,[031] BUNGKU TIMUR,5089,133,2238,2718,59,1197,1462,0,53.41,0,0,395,85
[03] MOROWALI,[040] BUNGKU BARAT,6260,259,2712,3289,15,2454,820,0,52.54,0,0,514,293
[03] MOROWALI,[041] BUMI RAYA,5601,294,2671,2636,165,1990,481,0,47.06,0,0,428,381
[03] MOROWALI,[042] WITA PONDA,7146,278,3521,3347,72,2419,856,0,46.84,0,0,285,182
[04] POSO,[000] -,167,69,59,39,0,0,0,39,23.35,0,0,101,0
[04] POSO,[010] PAMONA SELATAN,9972,1076,3236,5660,631,4590,438,1,56.76,0,0,340,214
[04] POSO,[011] PAMONA BARAT,4297,147,1497,2653,130,2068,454,1,61.74,0,0,134,156
[04] POSO,[012] PAMONA TENGGARA,3439,121,1349,1969,137,1795,36,1,57.26,0,0,111,58
[04] POSO,[020] LORE SELATAN,2705,0,931,1774,97,1544,132,1,65.58,0,0,30,14
[04] POSO,[021] LORE BARAT,1288,0,409,879,17,804,58,0,68.25,0,0,32,22
[04] POSO,[030] PAMONA PUSALEMBA,10704,397,4245,6062,333,4439,1290,0,56.63,0,0,414,309
[04] POSO,[031] PAMONA TIMUR,5606,187,2026,3393,205,1834,1354,0,60.52,0,0,217,171
[04] POSO,[032] PAMONA UTARA,6771,13,2710,4048,87,3355,605,1,59.78,0,0,273,176
[04] POSO,[040] LORE UTARA,6422,94,2671,3657,131,2529,997,0,56.94,0,0,296,405
[04] POSO,[041] LORE TENGAH,2129,48,994,1087,17,823,246,1,51.06,0,0,65,23
[04] POSO,[042] LORE TIMUR,2682,27,1347,1308,53,1211,44,0,48.77,0,0,110,58
[04] POSO,[043] LORE PEORE,1727,0,676,1051,25,708,318,0,60.86,0,0,35,52
[04] POSO,[050] POSO PESISIR,11462,1158,4557,5747,680,3495,1572,0,50.14,0,0,358,335
[04] POSO,[051] POSO PESISIR SELATAN,4479,14,2235,2230,38,2127,65,0,49.79,0,0,134,122
[04] POSO,[052] POSO PESISIR UTARA,7252,331,2517,4404,94,3173,1137,0,60.73,0,0,254,142
[04] POSO,[060] LAGE,9482,204,3862,5416,936,3214,1265,1,57.12,0,0,259,281
[04] POSO,[070] POSO KOTA,12245,323,5524,6398,470,4634,1294,0,52.25,0,0,400,270
[04] POSO,[071] POSO KOTA UTARA,8035,133,3735,4167,450,2821,894,2,51.86,0,0,312,218
[04] POSO,[072] POSO KOTA SELATAN,6697,182,2765,3750,138,2251,1361,0,56.0,0,0,207,306
[05] DONGGALA,[041] RIO PAKAVA,9026,445,3195,5386,84,5090,212,0,59.67,0,0,529,406
[05] DONGGALA,[051] PINEMBANI,1477,34,742,701,21,663,17,0,47.46,0,0,112,32
[05] DONGGALA,[080] BANAWA,17446,399,6771,10276,63,9616,592,5,58.9,0,0,746,605
[05] DONGGALA,[081] BANAWA SELATAN,11025,188,3253,7584,146,6777,661,0,68.79,0,0,643,430
[05] DONGGALA,[082] BANAWA TENGAH,4676,301,1929,2446,19,2318,109,0,52.31,0,0,265,97
[05] DONGGALA,[090] LABUAN,6635,11,3139,3485,85,2481,919,0,52.52,0,0,251,338
